x,y,z,u,v
-1.1604,-1.7761,-2.125,1.934001,0.9276211
-1.2306,-1.8836,-1.8875,1.842875,0.8345679
-1.2306,-1.8836,-2.125,1.9247615,0.9194773
-0.80339,-1.8315,-1.8875,1.8624412,0.8507624
-0.8522,-1.9428,-1.8875,1.8488809,0.83927625
-0.80339,-1.8315,-2.125,1.9406333,0.93407756
-0.8522,-1.9428,-2.125,1.9312216,0.9255196
-0.90381,-2.0605,-1.8875,1.8358419,0.82825863
-0.90381,-2.0605,-2.125,1.9215441,0.9167835
-0.49097,-1.9388,-1.8875,1.8543391,0.8438044
-0.5208,-2.0566,-1.8875,1.8397845,0.8312506
-0.49097,-1.9388,-2.125,1.9370613,0.9313101
-0.5208,-2.0566,-2.125,1.9269873,0.9219401
-0.55234,-2.1812,-1.8875,1.8256856,0.81905466
-0.55234,-2.1812,-2.125,1.9164782,0.9121869
-0.16516,-1.9932,-1.8875,1.8479319,0.8383716
-0.17519,-2.1143,-1.8875,1.8330046,0.82527715
-0.16516,-1.9932,-2.125,1.9340954,0.929069
-0.17519,-2.1143,-2.125,1.9236884,0.91919875
-0.1858,-2.2423,-1.8875,1.8185608,0.8124975
-0.1858,-2.2423,-2.125,1.9127871,0.9088262
0.16516,-1.9932,-1.8875,1.8452129,0.836407
0.17519,-2.1143,-1.8875,1.8310238,0.8238355
0.16516,-1.9932,-2.125,1.9323963,0.9280819
0.17519,-2.1143,-2.125,1.9223273,0.9184409
0.1858,-2.2423,-1.8875,1.8174927,0.8116836
0.1858,-2.2423,-2.125,1.911948,0.90841645
0.49097,-1.9388,-1.8875,1.8448944,0.8368751
0.5208,-2.0566,-1.8875,1.8320999,0.8255841
0.49097,-1.9388,-2.125,1.9312147,0.9276411
0.5208,-2.0566,-2.125,1.9218122,0.9187084
0.55234,-2.1812,-1.8875,1.8203006,0.8150013
0.55234,-2.1812,-2.125,1.9124821,0.909736
0.80339,-1.8315,-1.8875,1.8439355,0.8369413
0.8522,-1.9428,-1.8875,1.8320928,0.8267161
0.80339,-1.8315,-2.125,1.9292827,0.92637956
0.8522,-1.9428,-2.125,1.9201403,0.9179254
0.90381,-2.0605,-1.8875,1.8216221,0.8175531
0.90381,-2.0605,-2.125,1.9114443,0.90980285
1.0939,-1.6743,-1.8875,1.8403493,0.8345606
1.1604,-1.7761,-1.8875,1.8280799,0.82430524
1.0939,-1.6743,-2.125,1.9260674,0.9235913
1.1604,-1.7761,-2.125,1.9162123,0.9148029
1.2306,-1.8836,-1.8875,1.817419,0.8153521
1.2306,-1.8836,-2.125,1.9069875,0.9065597
1.3546,-1.4714,-1.8875,1.8350172,0.8302082
1.4369,-1.5609,-1.8875,1.8207088,0.81858295
1.3546,-1.4714,-2.125,1.9224898,0.919974
1.4369,-1.5609,-2.125,1.9108229,0.9098915
1.5239,-1.6554,-1.8875,1.8079548,0.8082631
1.5239,-1.6554,-2.125,1.8996274,0.90027994
1.5783,-1.2284,-1.8875,1.8319197,0.82698995
1.6742,-1.3031,-1.8875,1.8146844,0.8132016
1.5783,-1.2284,-2.125,1.9210566,0.9176553
1.6742,-1.3031,-2.125,1.9070472,0.90576416
1.7756,-1.382,-1.8875,1.7986532,0.8004988
1.7756,-1.382,-2.125,1.8929818,0.89397496
1.7589,-0.95189,-1.8875,1.8356441,0.82857615
1.8658,-1.0097,-1.8875,1.8162096,0.8130327
1.7589,-0.95189,-2.125,1.924445,0.91895115
1.8658,-1.0097,-2.125,1.9089308,0.9058
1.9788,-1.0709,-1.8875,1.7974575,0.7982196
1.9788,-1.0709,-2.125,1.8926958,0.8922574
1.8916,-0.6494,-1.8875,1.8456368,0.8348295
2.0066,-0.68886,-1.8875,1.8256896,0.81868273
1.8916,-0.6494,-2.125,1.9318614,0.9234688
2.0066,-0.68886,-2.125,1.9164317,0.9102117
2.1281,-0.73057,-1.8875,1.8060323,0.8029819
2.1281,-0.73057,-2.125,1.8999027,0.8962567
1.9727,-0.32919,-1.8875,1.854739,0.8406195
2.0924,-0.34916,-1.8875,1.8348489,0.8242848
1.9727,-0.32919,-2.125,1.9384534,0.92762667
2.0924,-0.34916,-2.125,1.9235551,0.9145945
2.2193,-0.37034,-1.8875,1.8150063,0.8082016
2.2193,-0.37034,-2.125,1.9073459,0.90066475
2.0,0.0,-1.65,1.7518704,0.74495786
1.9727,0.32919,-1.65,1.7458328,0.7402885
2.0928,0.34922,-1.65,1.7224087,0.72202426
2.1215,-4.1784e-07,-1.65,1.7306509,0.72835225
2.2193,0.37034,-1.65,1.7006073,0.70514756
2.25,0.0,-1.65,1.7108927,0.7130102
1.8916,0.6494,-1.65,1.7424767,0.73823017
2.0066,0.68886,-1.65,1.7178541,0.7190582
2.1281,0.73057,-1.65,1.6947151,0.70115125
1.7589,0.95189,-1.65,1.747891,0.7432322
1.8658,1.0097,-1.65,1.72441,0.7248346
1.9788,1.0709,-1.65,1.7022412,0.707531
1.5783,1.2284,-1.65,1.7581414,0.7523125
1.6742,1.3031,-1.65,1.7375495,0.7360186
1.7756,1.382,-1.65,1.7182964,0.72078854
1.3546,1.4714,-1.65,1.7640693,0.75841916
1.4369,1.5609,-1.65,1.7457179,0.743866
1.5239,1.6554,-1.65,1.7288262,0.7304473
1.0939,1.6743,-1.65,1.7613394,0.75789064
1.1604,1.7761,-1.65,1.7432365,0.74365526
1.2306,1.8836,-1.65,1.7266278,0.7305851
0.80339,1.8315,-1.65,1.7530415,0.7527307
0.8522,1.9428,-1.65,1.7338935,0.73781025
0.90381,2.0605,-1.65,1.7162855,0.72408575
0.49097,1.9388,-1.65,1.7455255,0.7476517
0.5208,2.0566,-1.65,1.7252984,0.7319352
0.55234,2.1812,-1.65,1.7068045,0.7175384
0.16516,1.9932,-1.65,1.7440069,0.7467332
0.17519,2.1143,-1.65,1.7234427,0.7307037
0.1858,2.2423,-1.65,1.7048151,0.71612185
-0.16516,1.9932,-1.65,1.7497977,0.7512578
-0.17519,2.1143,-1.65,1.7297794,0.73556036
-0.1858,2.2423,-1.65,1.7117581,0.7213436
-0.49097,1.9388,-1.65,1.7596229,0.7590222
-0.5208,2.0566,-1.65,1.7406561,0.74408966
-0.55234,2.1812,-1.65,1.72366,0.7306185
-0.80339,1.8315,-1.65,1.7675674,0.7655023
-0.8522,1.9428,-1.65,1.7493083,0.7511578
-0.90381,2.0605,-1.65,1.7329965,0.73826975
-1.0939,1.6743,-1.65,1.7689092,0.7666601
-1.1604,1.7761,-1.65,1.7502041,0.7520482
-1.2306,1.8836,-1.65,1.7333988,0.7388719
-1.3546,1.4714,-1.65,1.7630228,0.7615618
-1.4369,1.5609,-1.65,1.7426431,0.7456834
-1.5239,1.6554,-1.65,1.7240376,0.73114884
-1.5783,1.2284,-1.65,1.7538134,0.7531691
-1.6742,1.3031,-1.65,1.731375,0.7356635
-1.7756,1.382,-1.65,1.7106255,0.71944153
-1.7589,0.95189,-1.65,1.74732,0.7464854
-1.8658,1.0097,-1.65,1.7236652,0.72797465
-1.9788,1.0709,-1.65,1.7016584,0.71073735
-1.8916,0.6494,-1.65,1.7470154,0.74465567
-2.0066,0.68886,-1.65,1.723649,0.72628915
-2.1281,0.73057,-1.65,1.7018621,0.7091739
-1.9727,0.32919,-1.65,1.7509137,0.7465635
-2.0926,0.34919,-1.65,1.7291551,0.72936034
-2.2193,0.37034,-1.65,1.7089173,0.713375
-2.0,1.9594e-16,-1.65,1.7533853,0.7481384
-2.1215,-4.703e-07,-1.65,1.7334809,0.7323451
-2.25,-2.2044e-16,-1.65,1.7151841,0.7178212
-1.9727,-0.32919,-1.65,1.7513268,0.74699074
-2.0926,-0.34919,-1.65,1.732438,0.73205894
-2.2193,-0.37034,-1.65,1.7153335,0.7185124
-1.8916,-0.6494,-1.65,1.7484386,0.74563843
-2.0066,-0.68886,-1.65,1.7299871,0.73117405
-2.1281,-0.73057,-1.65,1.7133963,0.718143
-1.7589,-0.95189,-1.65,1.7509127,0.7483501
-1.8658,-1.0097,-1.65,1.7333654,0.73466676
-1.9788,-1.0709,-1.65,1.7175779,0.7223429
-1.5783,-1.2284,-1.65,1.7591004,0.7551063
-1.6742,-1.3031,-1.65,1.7432494,0.74272925
-1.7756,-1.382,-1.65,1.7289664,0.7315788
-1.3546,-1.4714,-1.65,1.7663059,0.7607316
-1.4369,-1.5609,-1.65,1.7521001,0.74956775
-1.5239,-1.6554,-1.65,1.7393066,0.7395251
-1.0939,-1.6743,-1.65,1.7658684,0.7600883
-1.1604,-1.7761,-1.65,1.7522196,0.74925095
-1.2306,-1.8836,-1.65,1.7399015,0.73947316
-0.80339,-1.8315,-1.65,1.7573955,0.7528913
-0.8522,-1.9428,-1.65,1.7432609,0.741494
-0.90381,-2.0605,-1.65,1.7304399,0.7311138
-0.49097,-1.9388,-1.65,1.7460513,0.74332565
-0.5208,-2.0566,-1.65,1.7313137,0.7312004
-0.55234,-2.1812,-1.65,1.7179756,0.72009903
-0.16516,-1.9932,-1.65,1.7378349,0.7364185
-0.17519,-2.1143,-1.65,1.7232144,0.72413665
-0.1858,-2.2423,-1.65,1.7100987,0.71289897
0.16516,-1.9932,-1.65,1.7354002,0.7346195
0.17519,-2.1143,-1.65,1.72183,0.7230584
0.1858,-2.2423,-1.65,1.7098292,0.71256596
0.49097,-1.9388,-1.65,1.7369345,0.7366143
0.5208,-2.0566,-1.65,1.7249358,0.7264026
0.55234,-2.1812,-1.65,1.7146261,0.7173724
0.80339,-1.8315,-1.65,1.7380846,0.73867697
0.8522,-1.9428,-1.65,1.7272258,0.72963494
0.90381,-2.0605,-1.65,1.7182714,0.7219871
1.0939,-1.6743,-1.65,1.7355621,0.7377299
1.1604,-1.7761,-1.65,1.7244279,0.72879094
1.2306,-1.8836,-1.65,1.7153829,0.72142845
1.3546,-1.4714,-1.65,1.730048,0.73391414
1.4369,-1.5609,-1.65,1.7169503,0.72373444
1.5239,-1.6554,-1.65,1.7059618,0.7151744
1.5783,-1.2284,-1.65,1.7264969,0.73081565
1.6742,-1.3031,-1.65,1.7104967,0.7185888
1.7756,-1.382,-1.65,1.6964731,0.7079145
1.7589,-0.95189,-1.65,1.7305132,0.732663
1.8658,-1.0097,-1.65,1.7121028,0.71860945
1.9788,-1.0709,-1.65,1.6954026,0.70595014
1.8916,-0.6494,-1.65,1.7415794,0.73941386
2.0066,-0.68886,-1.65,1.7221295,0.7244164
2.1281,-0.73057,-1.65,1.7041316,0.7106548
1.9727,-0.32919,-1.65,1.7512212,0.74528056
2.0924,-0.34916,-1.65,1.7313724,0.72979814
2.2193,-0.37034,-1.65,1.7128433,0.7154663
2.0,0.0,-1.4125,1.6447058,0.656058
1.9727,0.32919,-1.4125,1.6358047,0.64951444
2.0928,0.34922,-1.4125,1.6171811,0.63556
2.1215,-4.1784e-07,-1.4125,1.6275835,0.64316875
2.2193,0.37034,-1.4125,1.6008228,0.623295
2.25,0.0,-1.4125,1.61243,0.63177174
1.8916,0.6494,-1.4125,1.6295484,0.64529395
2.0066,0.68886,-1.4125,1.6100752,0.63072217
2.1281,0.73057,-1.4125,1.5928887,0.617827
1.7589,0.95189,-1.4125,1.6329124,0.64823335
1.8658,1.0097,-1.4125,1.6140587,0.6340279
1.9788,1.0709,-1.4125,1.5973282,0.62135565
1.5783,1.2284,-1.4125,1.6429813,0.65630287
1.6742,1.3031,-1.4125,1.6261077,0.6434342
1.7756,1.382,-1.4125,1.6111827,0.63195354
1.3546,1.4714,-1.4125,1.649929,0.6624974
1.4369,1.5609,-1.4125,1.6348581,0.65093654
1.5239,1.6554,-1.4125,1.6216617,0.6407062
1.0939,1.6743,-1.4125,1.6475034,0.6620639
1.1604,1.7761,-1.4125,1.6328435,0.65089136
1.2306,1.8836,-1.4125,1.6200275,0.6410333
0.80339,1.8315,-1.4125,1.638336,0.656532
0.8522,1.9428,-1.4125,1.6232502,0.64512265
0.90381,2.0605,-1.4125,1.6100945,0.635076
0.49097,1.9388,-1.4125,1.6294572,0.65077055
0.5208,2.0566,-1.4125,1.6141343,0.6391727
0.55234,2.1812,-1.4125,1.6009877,0.6290787
0.16516,1.9932,-1.4125,1.626371,0.6487984
0.17519,2.1143,-1.4125,1.611325,0.6373239
0.1858,2.2423,-1.4125,1.5986671,0.62747246
-0.16516,1.9932,-1.4125,1.6304775,0.65186054
-0.17519,2.1143,-1.4125,1.6160555,0.64077157
-0.1858,2.2423,-1.4125,1.6040554,0.63131917
-0.49097,1.9388,-1.4125,1.6390554,0.65823925
-0.5208,2.0566,-1.4125,1.6253821,0.64768434
-0.55234,2.1812,-1.4125,1.6140687,0.63872945
-0.80339,1.8315,-1.4125,1.6466157,0.6639968
-0.8522,1.9428,-1.4125,1.6333759,0.6538126
-0.90381,2.0605,-1.4125,1.6224681,0.6452234
-1.0939,1.6743,-1.4125,1.6482184,0.66525155
-1.1604,1.7761,-1.4125,1.634531,0.6548097
-1.2306,1.8836,-1.4125,1.6231735,0.6459712
-1.3546,1.4714,-1.4125,1.6432087,0.6611719
-1.4369,1.5609,-1.4125,1.6282,0.6497791
-1.5239,1.6554,-1.4125,1.615497,0.63996565
-1.5783,1.2284,-1.4125,1.635839,0.6548289
-1.6742,1.3031,-1.4125,1.6193466,0.6423159
-1.7756,1.382,-1.4125,1.60518,0.63139033
-1.7589,0.95189,-1.4125,1.6317828,0.65065336
-1.8658,1.0097,-1.4125,1.6143742,0.637438
-1.9788,1.0709,-1.4125,1.5992837,0.6258216
-1.8916,0.6494,-1.4125,1.6336825,0.6509216
-2.0066,0.68886,-1.4125,1.6162434,0.637668
-2.1281,0.73057,-1.4125,1.6010057,0.62596405
-1.9727,0.32919,-1.4125,1.6393497,0.6543137
-2.0926,0.34919,-1.4125,1.6228156,0.64169943
-2.2193,0.37034,-1.4125,1.6083078,0.6305324
-2.0,1.7145e-16,-1.4125,1.6432791,0.6570061
-2.1215,-4.703e-07,-1.4125,1.6280608,0.6453403
-2.25,-1.9288e-16,-1.4125,1.6147995,0.63507015
