x,y,z,convected,diffused
2.0928,0.34922,-1.65,0.73198,1.7365
2.1215,-4.18E-07,-1.65,0.73198,1.7365
2.2193,0.37034,-1.65,0.73219,1.7367
2.25,0,-1.65,0.73218,1.7367
1.8916,0.6494,-1.65,0.73242,1.7368
2.0066,0.68886,-1.65,0.73198,1.7365
2.1281,0.73057,-1.65,0.73219,1.7367
1.7589,0.95189,-1.65,0.73242,1.7369
1.8658,1.0097,-1.65,0.73199,1.7365
1.9788,1.0709,-1.65,0.73219,1.7367
1.5783,1.2284,-1.65,0.73242,1.7368
1.6742,1.3031,-1.65,0.73198,1.7365
1.7756,1.382,-1.65,0.73219,1.7367
1.3546,1.4714,-1.65,0.73241,1.7368
1.4369,1.5609,-1.65,0.73198,1.7365
1.5239,1.6554,-1.65,0.73219,1.7367
1.0939,1.6743,-1.65,0.73241,1.7368
1.1604,1.7761,-1.65,0.73198,1.7365
1.2306,1.8836,-1.65,0.73218,1.7367
0.80339,1.8315,-1.65,0.7324,1.7368
0.8522,1.9428,-1.65,0.73197,1.7365
0.90381,2.0605,-1.65,0.73218,1.7367
0.49097,1.9388,-1.65,0.7324,1.7368
0.5208,2.0566,-1.65,0.73197,1.7365
0.55234,2.1812,-1.65,0.73218,1.7367
0.16516,1.9932,-1.65,0.7324,1.7368
0.17519,2.1143,-1.65,0.73197,1.7365
0.1858,2.2423,-1.65,0.73218,1.7367
-0.16516,1.9932,-1.65,0.7324,1.7368
-0.17519,2.1143,-1.65,0.73197,1.7365
-0.1858,2.2423,-1.65,0.73218,1.7367
-0.49097,1.9388,-1.65,0.7324,1.7368
-0.5208,2.0566,-1.65,0.73197,1.7365
-0.55234,2.1812,-1.65,0.73218,1.7367
-0.80339,1.8315,-1.65,0.7324,1.7368
-0.8522,1.9428,-1.65,0.73197,1.7365
-0.90381,2.0605,-1.65,0.73218,1.7367
-1.0939,1.6743,-1.65,0.7324,1.7368
-1.1604,1.7761,-1.65,0.73197,1.7365
-1.2306,1.8836,-1.65,0.73218,1.7367
-1.3546,1.4714,-1.65,0.7324,1.7368
-1.4369,1.5609,-1.65,0.73197,1.7365
-1.5239,1.6554,-1.65,0.73218,1.7367
-1.5783,1.2284,-1.65,0.7324,1.7368
-1.6742,1.3031,-1.65,0.73197,1.7365
-1.7756,1.382,-1.65,0.73218,1.7367
-1.7589,0.95189,-1.65,0.7324,1.7368
-1.8658,1.0097,-1.65,0.73197,1.7365
-1.9788,1.0709,-1.65,0.73218,1.7367
-1.8916,0.6494,-1.65,0.7324,1.7368
-2.0066,0.68886,-1.65,0.73197,1.7365
-2.1281,0.73057,-1.65,0.73218,1.7367
